id,hash,time,timezoneOffset,created,edited,isPublic,isTrack,distance,s,elapsedTime,elevationUp,elevationDown,elevationUpFile,elevationDownFile,altitudeSource,climbScore,percentageHilly,uphillEfficiency,downhillEfficiency,vam,kcal,pulseAvg,pulseMax,recoveryHr,maxHeartRateDropFrom,maxHeartRateDrop,vo2max,vo2maxByTime,vo2maxWithElevation,useVO2max,fitVO2maxEstimate,fitRecoveryTime,fitTrimp,fitHrvAnalysis,fitTrainingEffect,fitAnaerobicTrainingEffect,fitPerformanceCondition,fitPerformanceConditionEnd,fitFtp,fitSweatLoss,fitDeveloperSessionFields,rpe,subjectiveFeeling,trimp,cadence,gap,xPace,xGap,aerobicDecouplingPace,aerobicDecouplingPower,power,powerWithZero,airPower,isPowerCalculated,xPower,xPowerWithZero,wPrimeBalancePowerAvg,wPrimeBalancePowerMin,wPrimeBalancePaceAvg,wPrimeBalancePaceMin,staminaAvg,staminaMin,staminaPotentialAvg,staminaPotentialMin,requiredCriticalPower,requiredCriticalPace,requiredCriticalPaceVo2max,impactLoadFactorAvg,stepSpeedLossAvg,zoneDistributionPace,zoneDistributionHr,zoneDistributionPower,totalStrokes,swolf,wheelSize,poolLength,strideLength,groundcontact,groundcontactBalance,verticalOscillation,verticalRatio,avgImpactGsLeft,avgImpactGsRight,avgBrakingGsLeft,avgBrakingGsRight,avgFootstrikeTypeLeft,avgFootstrikeTypeRight,avgPronationExcursionLeft,avgPronationExcursionRight,avgLegSpringStiffness,avgFormPower,avgRespiratoryRate,avgLeftRightBalance,avgLeftTorqueEffectiveness,avgRightTorqueEffectiveness,avgLeftPedalSmoothness,avgRightPedalSmoothness,avgPlatformCenterOffsetLeft,avgPlatformCenterOffsetRight,avgLeftPowerPhaseStartAngle,avgLeftPowerPhaseEndAngle,avgLeftPowerPhasePeakStartAngle,avgLeftPowerPhasePeakEndAngle,avgRightPowerPhaseStartAngle,avgRightPowerPhaseEndAngle,avgRightPowerPhasePeakStartAngle,avgRightPowerPhasePeakEndAngle,cyclingTotalGrit,cyclingTotalGrit2,cyclingAvgFlow,jumps,percentageRiderPositionSeated,numGearChangeEvents,avgGearRatio,peakEpoc,peakEpocEstimate,temperature,windSpeed,windDeg,humidity,cloudCover,pressure,uvIndex,ozone,isNight,weatherid,weatherSource,routeName,hasTrackdata,isVirtual,splits,splitsCustom,title,partner,notes,creator,creatorDetails,deviceId,source,externalId,lock,sportid,typeid,unique_route_id,accountid,hrv_id,original_file,hrv_avgRR,hrv_rmssd,hrv_sdsd,hrv_sdnn,hrv_sdnn5min,hrv_pnn50,hrv_pnn20,hrv_percentageAnomalies,hrv_dfaA1Avg,hrv_dfaA1Min,hrv_dfaA1Max,hrv_dfaA1PAboveAet,hrv_dfaA1PBelowAnt,hrv_dfaA1PValid,hrv_dfaA1PArtifacts,hrv_estimatedAetPower,hrv_estimatedAetPowerFeasible,hrv_estimatedAetPace,hrv_estimatedAetPaceFeasible,hrv_estimatedAetHr,hrv_estimatedAetHrFeasible,race_officialDistance,race_officialTime,race_officialAscent,race_officialDescent,race_officiallyMeasured,race_name,race_placeTotal,race_placeGender,race_placeAgeclass,race_participantsTotal,race_participantsGender,race_participantsAgeclass,race_priorityLevel,race_status,race_accountid,race_activity_id,race_race_event_id,tags,climbs,equipmentIds
86838987,ee7c478b-7c47-447d-a17f-d7ada3e9691a,1705328925,0,1706438937,,0,0,3.11,1054,1054,13,9,45,33,4,0,0.07,,,,257,147,178,,132,15,46.25,32.17,46.56,1,,1106,,,2.8,1.9,,100,,,,,,31,84,10.65,10.69,10.74,12.8,12.2,375,375,,1,380,380,,,,,,,,,,,,,,"4,9,47,37,2,1,0,0,0","1,39,43,17,0","0,0,5,79,17",,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,1,15,312,61,0,1012,0,,0,2,4,Kislingbury,1,0,U1.609|9:17-U1.498|8:17,,"South Northamptonshire Running",,,fr645m,,253,3,13515856886,0,1094255,1228830,4664736,161408,,67377400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838988,509264c8-a0c4-4562-90aa-1e0a6b305e92,1706431056,0,1706438937,,0,0,1.59,619,619,7,5,19,24,4,0,0.21,,,,153,155,167,,164,18,36.08,25.78,36.34,1,37.51,2726,,,3,0.9,,,,70,,,,21,82,9.24,9.33,9.35,11.6,12.2,317,317,,1,322,322,,,,,,,,,,,,,,"28,46,24,0,1,0,0,0,0","0,7,61,32,0","0,2,23,75,0",,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,4,17,174,88,83,1021,0,,1,4,4,,1,0,U0.423|2:44-U0.012|0:05-U0.665|4:12-U0.005|0:02-U0.481|3:17,,"Northampton Running",,,3600,,451,3,13698539581,0,1094255,1228830,4664692,161408,,67377401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838989,02a715aa-5176-46d3-aa49-4b2c9d3ae05c,1703925072,0,1706438937,,0,0,2.74,965,965,7,8,19,0,4,0,0.01,,,,223,148,175,,175,19,43.69,30.45,43.8,1,,1164,,,2.9,0.6,,100,,,,,,27,84,10.22,10.31,10.28,9.7,6.4,355,355,,1,358,358,,,,,,,,,,,,,,"11,28,43,13,5,0,0,0,0","1,16,71,12,0","0,0,2,90,8",,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,6,18,167,94,,1006,0,,1,4,4,Kislingbury,1,0,U1.609|9:27-U1.131|6:38,,"South Northamptonshire Running",,,fr645m,,253,3,13283278955,0,1094255,1228830,4664614,161408,,67377402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838990,2dcf298b-17ab-466d-963c-c31a83342910,1706429335,0,1706438937,,0,0,4.21,1637,1637,16,21,69,32,4,0,0.1,,,,386,149,162,,160,8,38.28,27.8,38.41,1,37.52,2736,,,4.4,,,,,177,,,,48,83,9.22,9.22,9.21,8.2,7.4,314,314,,1,314,314,,,,,,,,,,,,,,"35,57,8,0,0,0,0,0,0","2,11,79,8,0","0,1,19,80,0",,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,4,17,174,88,83,1021,0,,1,4,4,Kislingbury,1,0,U0.281|2:00-U1.609|10:28-U1.609|10:15-U0.547|3:26-U0.164|1:08,,"South Northamptonshire - Run",,,3600,,451,3,13698416503,0,1094255,1228830,4664613,161408,,67377403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838991,b49a1a97-04e9-4542-a6c1-6582b9828ddc,1704614253,0,1706438937,,0,0,2.75,940,940,5,5,19,0,4,0,0.02,,,,226,151,179,,159,10,44.05,31.56,44.15,1,,1164,,,3,0.8,,100,,,,,,31,84,10.52,10.64,10.63,19.1,19.9,368,368,,1,373,373,,,,,,,,,,,,,,"5,17,42,36,0,0,0,0,0","1,40,24,35,0","0,2,0,91,7",,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3,1,10,355,84,50,1028,0,,1,3,4,Kislingbury,1,0,U1.609|9:07-U1.142|6:33,,"South Northamptonshire Running",,,fr645m,,253,3,13394598169,0,1094255,1228830,4664614,161408,,67377404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838992,9a0c3854-b8b1-4ce1-8881-1c8fac0468f5,1705912524,0,1706438938,,0,0,3.36,1179,1179,13,13,38,39,4,0,0.07,,,,283,159,172,,171,7,39.5,31.03,39.69,1,35.46,4320,,,5,3.3,,,,170,,,,44,84,10.25,10.3,10.29,7.2,7,357,357,,1,359,359,,,,,,,,,,,,,,"10,23,42,24,1,0,0,0,0","1,6,26,67,0","0,0,5,92,3",,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,7,18,237,85,42,1004,0,,1,3,4,Kislingbury,1,0,U1.609|9:24-U1.609|9:25-U0.144|0:50,,"South Northamptonshire Running",,,3600,,451,3,13611457325,0,1094255,1228830,4664707,161408,,67377405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838993,5191e912-2cd4-40db-8a0e-de0721c30520,1705131673,0,1706438938,,0,0,2.73,940,940,9,8,22,3,4,0,0.01,,,,255,161,177,,142,4,39.67,31.27,39.85,1,,1222,,,3.1,0.1,,100,,,,,,38,85,10.45,10.58,10.57,11.3,8.7,368,366,,1,374,373,,,,,,,,,,,,,,"8,12,54,20,5,1,0,0,0","1,9,26,64,0","1,0,3,85,11",,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,1,7,275,91,84,1027,0,,1,4,4,Kislingbury,1,0,U1.609|9:13-U1.123|6:26,,"South Northamptonshire Running",,,fr645m,,253,3,13481258048,0,1094255,1228830,4664614,161408,,67377406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838994,b067a7c1-31d4-41d1-8360-818c38bae63d,1705048247,0,1706438938,,0,0,2.71,944,944,5,5,14,2,4,0,0,,,,248,159,179,,157,6,39.86,30.83,39.95,1,,1222,,,3.1,1.4,,100,,,,,,36,84,10.32,10.43,10.43,14.9,16.3,361,361,,1,365,365,,,,,,,,,,,,,,"5,17,51,26,0,0,0,0,0","0,16,44,39,0","1,1,1,92,5",,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2,3,12,4,89,95,1038,0,,1,4,4,Kislingbury,1,0,U1.609|9:16-U1.101|6:28,,"South Northamptonshire Running",,,fr645m,,253,3,13468632444,0,1094255,1228830,4664614,161408,,67377407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838996,decc2f5a-e3a7-478a-99e7-2a117a02ebbd,1705503113,0,1706438938,,0,0,2.75,925,925,9,9,23,13,4,0,0.07,,,,233,150,178,,146,14,45.36,32.16,45.55,1,,1048,,,2.8,0.8,,100,,,,,,29,84,10.71,10.77,10.8,12.3,13,378,378,,1,382,381,,,,,,,,,,,,,,"4,5,45,37,9,0,0,0,0","0,36,40,24,0","1,0,1,76,22",,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0,12,6,81,83,992,0,,0,4,4,Kislingbury,1,0,U1.609|8:58-U1.140|6:27,,"South Northamptonshire Running",,,fr645m,,253,3,13545384031,0,1094255,1228830,4664716,161408,,67377409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86838997,99e427ba-649d-4931-8ce2-52f0c0b03ba7,1704905087,0,1706438938,,0,0,2.74,985,985,12,12,9,3,4,0,0.02,,,,263,160,178,,178,3,37.97,29.72,38.17,1,,1280,,,3.2,0.9,,100,,,,,,40,83,10,10.11,10.08,19.2,19.5,349,348,,1,352,351,,,,,,,,,,,,,,"10,27,45,17,1,0,0,0,0","1,13,30,57,0","1,1,1,93,4",,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,3,16,34,82,10,1030,0,,0,2,4,Kislingbury,1,0,U1.609|9:27-U1.133|6:58,,"South Northamptonshire Running",,,fr645m,,253,3,13447415032,0,1094255,1228830,4664614,161408,,67377411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
